,,tl_2014_us_cd114_adjusted_moment_centroid,tl_2014_us_cd114_area_per,tl_2014_us_cd114_convex_hull,convex_hull_pop,population_moments
AK,00,0.32602059092194347,0.06212068552379167,0.07936196314183694,1.0,0.6414627241089135
AL,01,0.8502870342838958,0.15970056263789845,0.7121661160780042,0.9693818880814098,1.6334186417293388
AL,02,0.8950537936578337,0.21481733978016848,0.742356009057277,0.8181816003201695,0.8183489589207343
AL,03,0.8256575021716689,0.22624941643847216,0.7332744890064082,0.7706421500633719,0.6324777168637903
AL,04,0.7269474829981393,0.18575472958302514,0.6234007650792167,0.3388769034619769,0.5308772844927677
AL,05,0.6272228741341341,0.26259080430795445,0.7776533507981446,0.8751610120722205,0.7738515391575042
AL,06,0.828208388135286,0.13443579023741423,0.6908354037960414,0.6023732563596778,1.6781843984097518
AL,07,0.8899464361172104,0.13198431137787012,0.6209969858636644,0.4765124885463794,0.7463852449507922
AR,01,0.8498385948738467,0.125610952569831,0.7041622791088787,0.5146630941720504,0.8147185430444949
AR,02,0.8683808768482215,0.24065667253228168,0.7110337034220091,0.8618078544507333,1.7173367640945933
AR,03,0.6405573106217114,0.13983515851636957,0.5261784782443619,0.8393641348277348,0.5634147535518823
AR,04,0.853111233531359,0.27944124720256724,0.7973106167092826,0.5128947488769203,0.8279856509598934
AS,98,0.10897009104391112,0.193103286016751,0.02491540055184166,,
AZ,01,0.8702449352509972,0.20356379027532753,0.7419898288186326,0.142867114537857,0.8567747742087014
AZ,02,0.8911398306268877,0.46779307070873527,0.8849290065505175,0.7077922207261399,1.4991825092489428
AZ,03,0.7404039966654898,0.24647378041083812,0.7458299167433441,0.5337641544127324,0.28008621248876425
AZ,04,0.7967428068935426,0.12099566396685714,0.623498655805732,0.14964086983454097,0.5825042851737239
AZ,05,0.9451225943660595,0.5167480176799907,0.8809718090921134,0.8167956230745692,1.0822738289752833
AZ,06,0.9500379338982677,0.3186076528673957,0.822463602001027,0.7362997502634264,1.5446608999785612
AZ,07,0.9386891115353284,0.40680956938847307,0.8356129142845189,0.8404818820856311,1.0492271011661827
AZ,08,0.7942586162809416,0.20325756044770185,0.65949451786394,0.7485625235101295,1.2229298308715433
AZ,09,0.7170189499218835,0.15000405425314048,0.5391932675018846,0.6516540231371546,0.5156090427114183
CA,01,0.9261477901092893,0.28451351295814564,0.8666033221186932,0.7695133018990827,1.4990306768537993
CA,02,0.7018610292216727,0.181649561307129,0.6092413386848096,0.6354937314490763,0.3425557961987743
CA,03,0.8035571423697164,0.15189867555556813,0.6274903751842389,0.2733431796422508,1.1169762681949218
CA,04,0.7774434826046385,0.29095018920591753,0.8233291868469844,0.5321582394487224,1.0520011437838532
CA,05,0.8165541046520791,0.1642713691325982,0.7297035557450146,0.8095232611036571,0.8033656321417975
CA,06,0.8509407475739151,0.19843449957058254,0.6664183879320109,0.8034793284134866,0.8420527117463741
CA,07,0.9726307678432498,0.45770032020778467,0.8923294790203243,0.8230059377791933,1.2017200532530312
CA,08,0.7049367972717865,0.2735547829727134,0.8124202705497302,0.5134752508735008,1.775783098762217
CA,09,0.9070673668887956,0.3441734357785358,0.8425322655189288,0.8329140771723611,1.0967818079682923
CA,10,0.8480380105516293,0.32731170507951524,0.7638531400656491,0.9245845144063505,1.689237601692509
CA,11,0.7171303887016128,0.2198337163871432,0.7692217818648035,0.6465019383855525,0.7559473770358132
CA,12,0.8220635172209132,0.34664092943511127,0.7109702488809073,0.8893636457956389,3.1814162149551697
CA,13,0.8993418755215061,0.3493528787291388,0.8974033192606313,0.9831974498951677,1.2375383336863468
CA,14,0.5307812091612518,0.2647943224554957,0.5067293582531505,0.692786848083737,1.4744812491213122
CA,15,0.8061184664009876,0.2822640994143679,0.7643860963942002,0.6655779774812739,1.613601309758736
CA,16,0.8107722556961932,0.2553562526618406,0.7448732605299797,0.6938013265950727,0.5537913401465915
CA,17,0.9223469345915976,0.24251744564775493,0.7763032858209026,0.8050060580241909,0.8205983735583442
CA,18,0.9350075358874717,0.2265472954811508,0.8021531395521557,0.5643273375434676,1.4228064248168515
CA,19,0.8981277486742195,0.2106920281910734,0.7752578559819259,0.7312227964613554,2.611933773252028
CA,20,0.8900322354147846,0.3965481104622766,0.8967587333910199,0.9465769388813666,2.3977531434774195
CA,21,0.8008217656748385,0.19102631067927614,0.7158788803599759,0.403650695114815,0.6208007508611035
CA,22,0.7424718981397966,0.17179496720995097,0.5607196961540102,0.589097293809033,0.41155140546171837
CA,23,0.8785935910802523,0.19426879890038976,0.7202786058244851,0.5023028335035298,1.1419755000613259
CA,24,0.7835290889195793,0.1828323573973035,0.5739812520043397,0.4978898769342795,0.9960896085937809
CA,25,0.7084271934138868,0.21720573897401796,0.6897778202449578,0.6645345484453435,0.781090926121306
CA,26,0.5326289864879937,0.18296658069453722,0.3770976318560142,0.8074429920841963,1.7443100486741958
CA,27,0.8889095263350487,0.2236677634802819,0.7574042388582757,0.48587690514718945,1.3736346441604368
CA,28,0.8507842064193638,0.16835859471464903,0.7072582376279825,0.61842906362507,1.732972303302774
CA,29,0.8656633292192139,0.21086195210780007,0.6886727770282871,0.9110368300446896,1.2602719899438943
CA,30,0.7617750578593865,0.18799870455966497,0.6522108744812823,0.5721195210237868,0.7142119148136868
CA,31,0.6115691246781515,0.08388933118068466,0.5882956286436152,0.660269422576,0.36762710790756015
CA,32,0.8230087535726011,0.12223848821454997,0.6496398631022262,0.7964026739179696,0.8519475282793019
CA,33,0.6447571173402641,0.18636161928442874,0.5784656940699683,0.37729002808875683,0.712845932198648
CA,34,0.8503337322378215,0.26290487556834424,0.7275232965646639,0.7717333544134245,0.6913217701400233
CA,35,0.6488699056044418,0.21425882459113285,0.6075331592769878,0.650302065890146,0.36913306978789184
CA,36,0.6705327118503728,0.33021953488015277,0.9409258746494383,0.9818795686968571,1.0638127683432694
CA,37,0.8397747112299866,0.3157925911779621,0.817663972138438,0.8309638369055078,0.6318547491152287
CA,38,0.8895384441223277,0.1851767653660723,0.7182948460823023,0.7227873960504323,0.8177320924180032
CA,39,0.8649217358337711,0.20157751311030667,0.7523167401050588,0.6791777382692433,0.7825104436771982
CA,40,0.7771590167142302,0.21588202743344295,0.6539185238487945,0.6692590109990555,0.5570373403186919
CA,41,0.8198321525604555,0.18121857703021338,0.7374555677185111,0.9383551311540408,0.8840310989162125
CA,42,0.7776683650901491,0.11054357391741795,0.6287606983585865,0.4479933206289316,0.7001884078869429
CA,43,0.8104266936262363,0.30229024851648517,0.7242208020884777,0.7921285699957514,0.742629087896744
CA,44,0.650369775918005,0.23417717364942817,0.6678802836651728,0.667939377410683,0.691092179505869
CA,45,0.902797364061574,0.3242044843172108,0.8567410537241786,0.8687987523356633,1.1702772643208388
CA,46,0.8683727735728003,0.27152757873031164,0.729014704740984,0.7452397700536056,0.7618708255306219
CA,47,0.4469884673690136,0.163375081818835,0.32425430909665853,0.5471301977036579,2.8190203388807666
CA,48,0.7195777942810382,0.2613383692576462,0.7780346410107447,0.7126134887451818,0.6374490307603259
CA,49,0.7431841839157017,0.19485537802254535,0.6735552828014173,0.7446379639250877,0.5552435609198904
