AK,00,0.32602059092194347
AL,01,0.8502870342838958
AL,02,0.8950537936578337
AL,03,0.8256575021716689
AL,04,0.7269474829981393
AL,05,0.6272228741341341
AL,06,0.828208388135286
AL,07,0.8899464361172104
AR,01,0.8498385948738467
AR,02,0.8683808768482215
AR,03,0.6405573106217114
AR,04,0.853111233531359
AS,98,0.10897009104391112
AZ,01,0.8702449352509972
AZ,02,0.8911398306268877
AZ,03,0.7404039966654898
AZ,04,0.7967428068935426
AZ,05,0.9451225943660595
AZ,06,0.9500379338982677
AZ,07,0.9386891115353284
AZ,08,0.7942586162809416
AZ,09,0.7170189499218835
CA,01,0.9261477901092893
CA,02,0.7018610292216727
CA,03,0.8035571423697164
CA,04,0.7774434826046385
CA,05,0.8165541046520791
CA,06,0.8509407475739151
CA,07,0.9726307678432498
CA,08,0.7049367972717865
CA,09,0.9070673668887956
CA,10,0.8480380105516293
CA,11,0.7171303887016128
CA,12,0.8220635172209132
CA,13,0.8993418755215061
CA,14,0.5307812091612518
CA,15,0.8061184664009876
CA,16,0.8107722556961932
CA,17,0.9223469345915976
CA,18,0.9350075358874717
CA,19,0.8981277486742195
CA,20,0.8900322354147846
CA,21,0.8008217656748385
CA,22,0.7424718981397966
CA,23,0.8785935910802523
CA,24,0.7835290889195793
CA,25,0.7084271934138868
CA,26,0.5326289864879937
CA,27,0.8889095263350487
CA,28,0.8507842064193638
CA,29,0.8656633292192139
CA,30,0.7617750578593865
CA,31,0.6115691246781515
CA,32,0.8230087535726011
CA,33,0.6447571173402641
CA,34,0.8503337322378215
CA,35,0.6488699056044418
CA,36,0.6705327118503728
CA,37,0.8397747112299866
CA,38,0.8895384441223277
CA,39,0.8649217358337711
CA,40,0.7771590167142302
CA,41,0.8198321525604555
CA,42,0.7776683650901491
CA,43,0.8104266936262363
CA,44,0.650369775918005
CA,45,0.902797364061574
CA,46,0.8683727735728003
CA,47,0.4469884673690136
CA,48,0.7195777942810382
CA,49,0.7431841839157017
CA,50,0.8916883370594333
CA,51,0.7063107452930979
CA,52,0.7694239713413675
CA,53,0.7997387939234367
CO,01,0.5433047443852166
CO,02,0.9052158937205597
CO,03,0.8701397388312339
CO,04,0.8852764234483067
CO,05,0.8091194425443415
CO,06,0.6964112449583661
CO,07,0.7214368135427762
CT,01,0.7539581329026196
CT,02,0.9413773600866998
CT,03,0.8183439950867709
CT,04,0.781012223520823
CT,05,0.8706769820213839
CT,ZZ,0.4199737252479107
DC,98,0.90658763086202
DE,00,0.7759678977036688
FL,01,0.7949355802901438
FL,02,0.8099972228469376
FL,03,0.9291085347731559
FL,04,0.7861231937724281
FL,05,0.44410467429723205
FL,06,0.7924691164878465
FL,07,0.9036959546060938
FL,08,0.7521202955623277
FL,09,0.907149790435289
FL,10,0.8339473305758154
FL,11,0.8662319369308633
FL,12,0.7930095072420629
FL,13,0.9212175471363532
FL,14,0.8041138774858603
FL,15,0.8704537782518023
FL,16,0.8546593824886732
FL,17,0.949183672247806
FL,18,0.9261476499447324
FL,19,0.7173866217381992
FL,20,0.9306223963469942
FL,21,0.6449696354813307
FL,22,0.5582743865719266
FL,23,0.6432157692696506
FL,24,0.8536196888425523
FL,25,0.7784057368819287
FL,26,0.6567810322745098
FL,27,0.909215944194079
GA,01,0.8355474494419983
GA,02,0.8935819876986649
GA,03,0.9092338347587835
GA,04,0.9083271362233047
GA,05,0.9339024958095817
GA,06,0.8972281177380537
GA,07,0.8892822569710249
GA,08,0.7555432107536052
GA,09,0.8331128186146788
GA,10,0.9067236219266026
GA,11,0.8665153678623678
GA,12,0.8605461810867336
GA,13,0.715939119906494
GA,14,0.8595007807824688
GU,98,0.832890858892609
HI,01,0.7770613218300444
HI,02,0.11186506464496074
IA,01,0.8463306445578678
IA,02,0.7132675775265575
IA,03,0.8174041303216794
IA,04,0.8386160365451022
ID,01,0.7017384749307282
ID,02,0.9182385547930294
IL,01,0.5979141836275513
IL,02,0.817575364845077
IL,03,0.7505073982837659
IL,04,0.5830223089982113
IL,05,0.6067369644236197
IL,06,0.6981590536666689
IL,07,0.5682199389497531
IL,08,0.7775104724236425
IL,09,0.6449050260115752
IL,10,0.7822744187563474
IL,11,0.7060025977038384
IL,12,0.781563348982569
IL,13,0.6510489848093116
IL,14,0.7343035255072002
IL,15,0.8274478360304057
IL,16,0.7699246020263997
IL,17,0.7351277472804911
IL,18,0.7715229822531687
IL,ZZ,0.9563485152382865
IN,01,0.9228808691098539
IN,02,0.9171918159325965
IN,03,0.9270152515934191
IN,04,0.9315204297870117
IN,05,0.8787014585809818
IN,06,0.9427657097996068
IN,07,0.9200710766701196
IN,08,0.8267524129045996
IN,09,0.8926645821666886
KS,01,0.798559242544875
KS,02,0.7855543121437472
KS,03,0.9221337695695209
KS,04,0.6938659503070689
KY,01,0.5640376766838564
KY,02,0.7770917626989214
KY,03,0.8689397832760472
KY,04,0.5465782384088479
KY,05,0.8114091328457197
KY,06,0.8731878346856785
LA,01,0.8241121023452855
LA,02,0.5173849559173571
LA,03,0.7673649627475321
LA,04,0.7452601670253234
LA,05,0.7923988420635977
LA,06,0.7707678708735303
MA,01,0.7651572250577908
MA,02,0.7750960333835016
MA,03,0.6952550750103724
MA,04,0.789828883390353
MA,05,0.6576685799357099
MA,06,0.8956453390294776
MA,07,0.5590557729438553
MA,08,0.760052677016701
MA,09,0.9076538347734684
MD,01,0.7162731906906635
MD,02,0.6055442089720795
MD,03,0.5099800731797344
MD,04,0.6135333553145654
MD,05,0.8647833840891723
MD,06,0.36363296314864063
MD,07,0.681568875182349
