,,combined_sldu_adjusted_moment_centroid,combined_sldu_area_per,combined_sldu_convex_hull,combined_sldu_convex_hull_pop,combined_sldu_population_moments
AK,00A,0.6606054967002867,0.2483090291894164,0.7940010405041855,0.9640362084432,0.5808550465402553
AK,00B,0.689246934615124,0.2463516072880305,0.7150029815312002,0.3962784979883773,1.0507845184903053
AK,00C,0.7650489615337049,0.16339502964569116,0.7609272621033881,0.3118050999431396,3.001093788534965
AK,00D,0.7459311183814731,0.26643711647388296,0.8359914142449593,0.7398546650842235,1.6883334623783028
AK,00E,0.6936051250581912,0.1992190585931745,0.7465780796304212,0.09057962709697465,0.8011690779643271
AK,00F,0.8184876983425788,0.35836418444827045,0.8190663959508087,0.8566206729605422,2.0791992150757226
AK,00G,0.7223507330800409,0.3054749445307982,0.8089691951211635,0.6379353725602962,3.4451381134377086
AK,00H,0.8885971271507271,0.3615157150872984,0.7243571007355643,0.5625356757785248,1.6721471756361397
AK,00I,0.5887751492613522,0.24754613461279473,0.6866683595362809,0.7942458199928851,0.3273175318225007
AK,00J,0.6229624274183649,0.27758030809560374,0.7686538172190248,0.912041210560206,0.595581235063619
AK,00K,0.7290971942604265,0.4021169142736793,0.9065787514491003,0.743509494202655,10.608870270504777
AK,00L,0.9193741463668446,0.49046978995973123,0.858355749443936,0.6349413531683593,1.852954122644847
AK,00M,0.8815735008819751,0.4679309262842105,0.8192520088683872,0.9222184821729111,1.2794697147095515
AK,00N,0.5672945759512946,0.2661655307532391,0.6868159157852226,0.7094463453188466,1.371032273535258
AK,00O,0.6535797024426755,0.2944176126852283,0.766894681940119,0.9420604223290822,0.6462977748107017
AK,00P,0.3656817573092407,0.05369200862033438,0.33141089872385715,0.10036864203855707,0.56834378906396
AK,00Q,0.7202990561208772,0.3646977042244514,0.8017988484926432,0.975355712114933,3.447315516557811
AK,00R,0.7833207658122743,0.4268037198249504,0.8553764087260733,0.9999719887955182,0.6634196531531877
AK,00S,0.07566390985440229,0.04098290659366201,0.025237243990155298,0.06095910336430006,0.01619549694723234
AK,00T,0.6698895226493486,0.12079770254357572,0.6978102829993358,0.9565193626848132,0.49475379632309047
AL,001,0.5436096526755546,0.15730726037571174,0.7218329716687438,0.5734167121332941,0.2592257174052898
AL,002,0.8930941063312889,0.29655077265733537,0.788568356109889,0.8436509975169106,1.2529262857541925
AL,003,0.9503516317636325,0.5693954821180793,0.9115594426930829,0.8550870022911635,1.3380163250034
AL,004,0.6958126782748997,0.1466214639515739,0.58786313462024,0.5916555451025007,0.5184955338271047
AL,005,0.9789460741670495,0.3282818073067227,0.8654224219554376,0.8508853505586066,0.9814043673145743
AL,006,0.805266222541359,0.19269220865972847,0.6012866505809076,0.6440155500523228,0.8758603036844769
AL,007,0.7811916286536379,0.2213247263234179,0.7062310590962777,0.7965889532154592,1.0028229912333968
AL,008,0.8799113362114964,0.2868040218690649,0.7915840057775458,0.5886334441509224,0.5997185949279603
AL,009,0.9009699905374012,0.2532489802303955,0.7688857339469352,0.853392321257309,0.9002067349081087
AL,010,0.7806951190913564,0.24553499340870902,0.7123030309337126,0.7863249331478077,1.1900328272085148
AL,011,0.6881367152751652,0.11077515614661812,0.5291006973856576,0.44702582696198206,0.5097494950864164
AL,012,0.6928096172535446,0.1796796024365336,0.622515852372588,0.7953218437439362,1.4221233851530264
AL,013,0.7016992501897145,0.19722818854895335,0.7060809223122105,0.5928717622372811,0.4300239588853568
AL,014,0.7782432505926785,0.24173058728421315,0.7412029677623844,0.766201841674495,0.8726501997898876
AL,015,0.7650308334977867,0.11703595201314332,0.5819722649499351,0.47471688951320606,0.5059122573132017
AL,016,0.9070450162760558,0.22299662505917006,0.7877426078297107,0.889430715059237,0.976581428010541
AL,017,0.7191836968263193,0.10386239729262672,0.6181285604590941,0.4655519062472028,0.645265173783044
