MD,004,0.1698449467248166
MD,005,0.3301909096769984
MD,006,0.02363259811487726
MD,007,0.08315444296307326
MD,008,0.25819328171010075
MD,010,0.19077788275200955
MD,011,0.23443433481200993
MD,012,0.11116095579240694
MD,013,0.28412303506764663
MD,014,0.2066934377323592
MD,015,0.35814099244972614
MD,016,0.3513413955696184
MD,017,0.20555883796205673
MD,018,0.3316506566651853
MD,019,0.20155043750242876
MD,01A,0.34869504773233273
MD,01B,0.23793926049802464
MD,01C,0.10808042888535935
MD,020,0.34119558385043663
MD,021,0.14669056061146277
MD,022,0.10122739648664444
MD,024,0.07302381504610532
MD,025,0.15667673766925533
MD,026,0.13806205527760135
MD,028,0.085882339221367
MD,02A,0.11495376894584275
MD,02B,0.056458645664458615
MD,032,0.2711096382257607
MD,033,0.06134583375801345
MD,036,0.0414828769960857
MD,039,0.20860479384238717
MD,03A,0.28087471502380457
MD,03B,0.23529081308637212
MD,040,0.13990306310971257
MD,041,0.32907557363146495
MD,043,0.3523825104422977
MD,045,0.3852523352660347
MD,046,0.03726599220841936
MD,09A,0.19429316288834556
MD,09B,0.1665758843619777
MD,23A,0.15159778212570157
MD,23B,0.13973607087715192
MD,27A,0.2023967172284951
MD,27B,0.17185639037480183
MD,27C,0.13863621064881404
MD,29A,0.08670066112846142
MD,29B,0.030257933664750505
MD,29C,0.04552258324605429
MD,30A,0.039799331456674025
MD,30B,0.057745363577523384
MD,31A,0.22990525815898888
MD,31B,0.03345673029365156
MD,34A,0.23571947878789223
MD,34B,0.28012936036705766
MD,35A,0.09707567973483623
MD,35B,0.20802216872119503
MD,37A,0.0388833288816846
MD,37B,0.011320419879139326
MD,38A,0.023762510651161077
MD,38B,0.12504913017442967
MD,38C,0.014839536034006092
MD,42A,0.3930513054182398
MD,42B,0.1978235122293253
MD,44A,0.19188808430587967
MD,44B,0.17688806489952985
MD,47A,0.19666604587217945
MD,47B,0.1814853691462347
